OAC_AGR_13_0001,AGN002,32,33,2014/2015,2
OAC_AGR_13_0002,AGN002,27,42,2014/2015,2
OAC_AGR_13_0003,AGN002,26,31,2014/2015,2
OAC_AGR_13_0004,AGN002,27,25,2014/2015,2
OAC_AGR_13_0005,AGN002,27,25,2014/2015,2
OAC_AGR_13_0006,AGN002,32,45,2014/2015,2
OAC_AGR_13_0007,AGN002,33,40,2014/2015,2
OAC_AGR_13_0008,AGN002,32,41,2014/2015,2
OAC_AGR_13_0009,AGN002,22,0,2014/2015,2
OAC_AGR_13_0010,AGN002,28,32,2014/2015,2
OAC_AGR_13_0011,AGN002,33,48,2014/2015,2
OAC_AGR_13_0012,AGN002,28,33,2014/2015,2
OAC_AGR_13_0013,AGN002,27,43,2014/2015,2
OAC_AGR_13_0014,AGN002,27,47,2014/2015,2
OAC_AGR_13_0015,AGN002,20,38,2014/2015,2
OAC_AGR_13_0016,AGN002,26,35,2014/2015,2
OAC_AGR_13_0017,AGN002,27,25,2014/2015,2
OAC_AGR_13_0018,AGN002,30,27,2014/2015,2
OAC_AGR_13_0019,AGN002,32,27,2014/2015,2
OAC_AGR_13_0020,AGN002,27,27,2014/2015,2
OAC_AGR_13_0021,AGN002,32,35,2014/2015,2
OAC_AGR_13_0022,AGN002,36,46,2014/2015,2
OAC_AGR_13_0023,AGN002,26,34,2014/2015,2
OAC_AGR_13_0024,AGN002,28,43,2014/2015,2
OAC_AGR_13_0025,AGN002,34,38,2014/2015,2
OAC_AGR_13_0026,AGN002,32,39,2014/2015,2
OAC_AGR_13_0027,AGN002,27,37,2014/2015,2
OAC_AGR_13_0028,AGN002,27,44,2014/2015,2
OAC_AGR_13_0029,AGN002,33,43,2014/2015,2
OAC_AGR_13_0030,AGN002,33,41,2014/2015,2
OAC_AGR_13_0031,AGN002,23,37,2014/2015,2
OAC_AGR_13_0032,AGN002,32,45,2014/2015,2
OAC_AGR_13_0033,AGN002,28,38,2014/2015,2
OAC_AGR_13_0034,AGN002,24,38,2014/2015,2
OAC_AGR_13_0035,AGN002,31,21,2014/2015,2
OAC_AGR_13_0036,AGN002,32,19,2014/2015,2
OAC_AGR_13_0037,AGN002,27,37,2014/2015,2
OAC_AGR_13_0038,AGN002,0,0,2014/2015,2
OAC_AGR_13_0039,AGN002,27,31.2,2014/2015,2
OAC_AGR_13_0040,AGN002,26,25.2,2014/2015,2
OAC_AGR_13_0041,AGN002,26,43.2,2014/2015,2
OAC_AGR_13_0001,CSC011,24,20,2014/2015,2
OAC_AGR_13_0002,CSC011,30,38,2014/2015,2
OAC_AGR_13_0003,CSC011,30,34,2014/2015,2
OAC_AGR_13_0004,CSC011,24,28,2014/2015,2
OAC_AGR_13_0005,CSC011,34,34,2014/2015,2
OAC_AGR_13_0006,CSC011,30,33,2014/2015,2
OAC_AGR_13_0007,CSC011,30,44,2014/2015,2
OAC_AGR_13_0008,CSC011,34,45,2014/2015,2
OAC_AGR_13_0009,CSC011,26,13,2014/2015,2
OAC_AGR_13_0010,CSC011,30,26,2014/2015,2
OAC_AGR_13_0011,CSC011,40,49,2014/2015,2
OAC_AGR_13_0012,CSC011,32,29,2014/2015,2
OAC_AGR_13_0013,CSC011,36,38,2014/2015,2
OAC_AGR_13_0014,CSC011,28,40,2014/2015,2
OAC_AGR_13_0015,CSC011,28,32,2014/2015,2
OAC_AGR_13_0016,CSC011,24,21,2014/2015,2
OAC_AGR_13_0017,CSC011,26,16,2014/2015,2
OAC_AGR_13_0018,CSC011,30,31,2014/2015,2
OAC_AGR_13_0019,CSC011,34,22,2014/2015,2
OAC_AGR_13_0020,CSC011,28,20,2014/2015,2
OAC_AGR_13_0021,CSC011,32,26,2014/2015,2
OAC_AGR_13_0022,CSC011,28,46,2014/2015,2
OAC_AGR_13_0023,CSC011,30,35,2014/2015,2
OAC_AGR_13_0024,CSC011,34,47,2014/2015,2
OAC_AGR_13_0025,CSC011,34,34,2014/2015,2
OAC_AGR_13_0026,CSC011,32,35,2014/2015,2
OAC_AGR_13_0027,CSC011,30,40,2014/2015,2
OAC_AGR_13_0028,CSC011,32,44,2014/2015,2
OAC_AGR_13_0029,CSC011,28,38,2014/2015,2
OAC_AGR_13_0030,CSC011,32,37,2014/2015,2
OAC_AGR_13_0031,CSC011,28,31,2014/2015,2
OAC_AGR_13_0032,CSC011,42,34,2014/2015,2
OAC_AGR_13_0033,CSC011,38,35,2014/2015,2
OAC_AGR_13_0034,CSC011,32,35,2014/2015,2
OAC_AGR_13_0035,CSC011,24,11,2014/2015,2
OAC_AGR_13_0036,CSC011,30,21,2014/2015,2
OAC_AGR_13_0037,CSC011,32,29,2014/2015,2
OAC_AGR_13_0038,CSC011,30,0,2014/2015,2
OAC_AGR_13_0039,CSC011,30,33,2014/2015,2
OAC_AGR_13_0040,CSC011,26,30,2014/2015,2
OAC_AGR_13_0041,CSC011,24,28,2014/2015,2
