OAC_AGR_13_0001,CSC018,29,32,2015/2016,3,,,,
OAC_AGR_13_0002,CSC018,36,44,2015/2016,3,,,,
OAC_AGR_13_0003,CSC018,34,32,2015/2016,3,,,,
OAC_AGR_13_0004,CSC018,32,34,2015/2016,3,,,,
OAC_AGR_13_0005,CSC018,36,35,2015/2016,3,,,,
OAC_AGR_13_0006,CSC018,30,41,2015/2016,3,,,,
OAC_AGR_13_0007,CSC018,38,40,2015/2016,3,,,,
OAC_AGR_13_0008,CSC018,29,45,2015/2016,3,,,,
OAC_AGR_13_0009,CSC018,29,11,2015/2016,3,,,,
OAC_AGR_13_0010,CSC018,36,32,2015/2016,3,,,,
OAC_AGR_13_0011,CSC018,38,53,2015/2016,3,,,,
OAC_AGR_13_0012,CSC018,32,42,2015/2016,3,,,,
OAC_AGR_13_0013,CSC018,36,32,2015/2016,3,,,,
OAC_AGR_13_0014,CSC018,38,41,2015/2016,3,,,,
OAC_AGR_13_0015,CSC018,29,40,2015/2016,3,,,,
OAC_AGR_13_0016,CSC018,35,26,2015/2016,3,,,,
OAC_AGR_13_0017,CSC018,30,33,2015/2016,3,,,,
OAC_AGR_13_0018,CSC018,29,26,2015/2016,3,,,,
OAC_AGR_13_0019,CSC018,31,23,2015/2016,3,,,,
OAC_AGR_13_0020,CSC018,34,38,2015/2016,3,,,,
OAC_AGR_13_0021,CSC018,31,31,2015/2016,3,,,,
OAC_AGR_13_0022,CSC018,35,38,2015/2016,3,,,,
OAC_AGR_13_0023,CSC018,30,39,2015/2016,3,,,,
OAC_AGR_13_0024,CSC018,30,47,2015/2016,3,,,,
OAC_AGR_13_0025,CSC018,28,41,2015/2016,3,,,,
OAC_AGR_13_0026,CSC018,37,40,2015/2016,3,,,,
OAC_AGR_13_0027,CSC018,36,36,2015/2016,3,,,,
OAC_AGR_13_0028,CSC018,35,45,2015/2016,3,,,,
OAC_AGR_13_0029,CSC018,37,45,2015/2016,3,,,,
OAC_AGR_13_0030,CSC018,36,41,2015/2016,3,,,,
OAC_AGR_13_0031,CSC018,37,43,2015/2016,3,,,,
OAC_AGR_13_0032,CSC018,35,39,2015/2016,3,,,,
OAC_AGR_13_0033,CSC018,37,38,2015/2016,3,,,,
OAC_AGR_13_0034,CSC018,28,32,2015/2016,3,,,,
OAC_AGR_13_0035,CSC018,28,30,2015/2016,3,,,,
OAC_AGR_13_0036,CSC018,32,36,2015/2016,3,,,,
OAC_AGR_13_0037,CSC018,32,32,2015/2016,3,,,,
OAC_AGR_13_0038,CSC018,28,0,2015/2016,3,,,,
OAC_AGR_13_0039,CSC018,34,33,2015/2016,3,,,,
OAC_AGR_13_0040,CSC018,30,29,2015/2016,3,,,,
OAC_AGR_13_0041,CSC018,37,32,2015/2016,3,,,,
