OAC_AGR_13_0001,AEN001,24,32,2013/2014,2
OAC_AGR_13_0002,AEN001,36,44,2013/2014,2
OAC_AGR_13_0003,AEN001,28,32,2013/2014,2
OAC_AGR_13_0004,AEN001,22,34,2013/2014,2
OAC_AGR_13_0005,AEN001,29,35,2013/2014,2
OAC_AGR_13_0006,AEN001,28,41,2013/2014,2
OAC_AGR_13_0007,AEN001,39,40,2013/2014,2
OAC_AGR_13_0008,AEN001,36,45,2013/2014,2
OAC_AGR_13_0009,AEN001,15,11,2013/2014,2
OAC_AGR_13_0010,AEN001,31,32,2013/2014,2
OAC_AGR_13_0011,AEN001,40,53,2013/2014,2
OAC_AGR_13_0012,AEN001,25,42,2013/2014,2
OAC_AGR_13_0013,AEN001,31,32,2013/2014,2
OAC_AGR_13_0014,AEN001,26,41,2013/2014,2
OAC_AGR_13_0015,AEN001,27,40,2013/2014,2
OAC_AGR_13_0016,AEN001,25,26,2013/2014,2
OAC_AGR_13_0017,AEN001,22,33,2013/2014,2
OAC_AGR_13_0018,AEN001,30,26,2013/2014,2
OAC_AGR_13_0019,AEN001,28,23,2013/2014,2
OAC_AGR_13_0020,AEN001,27,38,2013/2014,2
OAC_AGR_13_0021,AEN001,27,31,2013/2014,2
OAC_AGR_13_0022,AEN001,33,38,2013/2014,2
OAC_AGR_13_0023,AEN001,21,39,2013/2014,2
OAC_AGR_13_0024,AEN001,20,47,2013/2014,2
OAC_AGR_13_0025,AEN001,22,41,2013/2014,2
OAC_AGR_13_0026,AEN001,36,40,2013/2014,2
OAC_AGR_13_0027,AEN001,30,36,2013/2014,2
OAC_AGR_13_0028,AEN001,23,45,2013/2014,2
OAC_AGR_13_0029,AEN001,26,45,2013/2014,2
OAC_AGR_13_0030,AEN001,28,41,2013/2014,2
OAC_AGR_13_0031,AEN001,29,43,2013/2014,2
OAC_AGR_13_0032,AEN001,25,39,2013/2014,2
OAC_AGR_13_0033,AEN001,31,38,2013/2014,2
OAC_AGR_13_0034,AEN001,29,32,2013/2014,2
OAC_AGR_13_0035,AEN001,18,30,2013/2014,2
OAC_AGR_13_0036,AEN001,30,36,2013/2014,2
OAC_AGR_13_0037,AEN001,31,32,2013/2014,2
OAC_AGR_13_0038,AEN001,0,0,2013/2014,2
OAC_AGR_13_0039,AEN001,28,33,2013/2014,2
OAC_AGR_13_0040,AEN001,22,29,2013/2014,2
OAC_AGR_13_0041,AEN001,24,32,2013/2014,2
